,lat,lon,diff_stationarity_pval,diff_acf_lag,diff_acf,diff_acf_pval,orig_stationarity_pval,orig_acf_lag,orig_acf,orig_acf_pval
0,21.5,116.5,1.866722421598714e-28,12,0.2544093796033982,5.256962728324167e-17,0.06670828920945486,12,0.6149728451847678,1.0517948392344617e-106
1,21.5,116.75,1.4774240539497318e-28,12,0.2516668345981042,2.9823270453494656e-17,0.06657241721712744,12,0.6156012845277303,2.643029140151689e-107
2,21.5,117.0,1.0101458135583088e-28,12,0.24451525878647523,5.474392897286598e-17,0.06649764036416216,12,0.6128007504172402,3.2514190018247244e-106
3,21.5,117.25,9.233825642036187e-29,12,0.23964702164714385,8.100042051804382e-17,0.06597203091776252,12,0.6113849864188542,6.807206674908944e-106
4,21.5,117.5,8.838024378592799e-29,12,0.2364778147167253,1.0105626042229205e-16,0.06690269343229822,12,0.6109149011555175,6.806164228134319e-106
5,21.5,117.75,8.729273742652187e-29,12,0.23180980266146162,2.1395778843060105e-16,0.06822461032670529,12,0.6089193736734362,3.501618701366136e-105
6,21.5,118.0,9.91770202575067e-29,12,0.22576594129633015,1.0184193848408225e-15,0.10800293087793633,12,0.6049507830905054,1.5807447974423184e-103
7,21.5,118.25,1.5759104526344371e-28,12,0.22321693025972572,6.885372547437032e-15,0.09352671422208247,12,0.6015920639779104,8.204569978082905e-102
8,21.5,118.5,5.015952781180571e-28,12,0.22628531672973712,4.6879452647024386e-14,0.07600840593863227,12,0.6001276908379586,8.420215864724975e-101
9,21.5,118.75,3.255673912863706e-27,12,0.23477627214313035,4.881439350593883e-13,0.06624189660334977,12,0.5986354685486687,2.082653067850533e-99
10,21.5,119.0,4.9941497278480224e-26,12,0.24819899322533984,1.1017152530054324e-11,0.06541704118010302,12,0.5956894025188921,5.751903094930159e-97
11,21.5,119.25,1.1091808438650875e-24,12,0.2661537509171043,1.7922330734162692e-10,0.06646571305386709,12,0.5940503973660408,6.357959736905336e-95
12,21.5,119.5,1.6474960751611957e-23,12,0.2855810247182913,3.733586092336045e-10,0.06525743978469001,12,0.5961094086847727,5.6035905285551255e-95
13,21.5,119.75,5.770647816515903e-23,12,0.3079392729056156,4.472344932640012e-11,0.06377864319787367,12,0.6036044007640906,1.1958630796307071e-97
14,21.5,120.0,1.1189897957490523e-23,12,0.33890065557903304,2.9338393077835994e-13,0.0683547817511518,12,0.6195784938163971,2.849073688811034e-103
15,21.5,120.25,1.698009728533115e-24,12,0.37056452754066105,3.2267524612639503e-16,0.07643727076678816,12,0.6378130234987203,1.5163572810745784e-110
16,21.5,120.5,6.209578956274258e-25,12,0.37518661427614963,8.667342154677011e-18,0.07637266331293528,12,0.6436809614117927,6.979784091575588e-114
17,21.5,120.75,5.12394322935395e-25,12,0.3542587013469901,2.6339557935913945e-17,0.0012333556111375063,12,0.6374419294575914,6.795111157738341e-113
18,21.5,121.0,4.853755293079381e-25,12,0.3150987241834936,3.006787074278995e-15,0.052438913931965966,12,0.6213362619773561,4.087214222581176e-108
19,21.5,121.25,3.7804661424841295e-25,12,0.2675389862264886,1.0943087352940802e-12,0.04262069531129104,12,0.5973778957571249,3.5837321933353074e-100
20,21.5,121.5,2.530420223258315e-25,12,0.21862233128596217,9.105758765482632e-11,0.03768165318971047,12,0.5702650683321329,3.2691143008238995e-91
21,21.5,121.75,1.5137169168333414e-25,12,0.17639671777948715,5.728662349022989e-10,0.03501249518526858,12,0.5451845171741407,1.2244283035358803e-83
22,21.5,122.0,8.812118100131425e-26,12,0.13910220305081694,8.819006706724624e-10,0.03221330391127943,12,0.5211446180455447,1.2740657528474926e-76
23,21.5,122.25,6.184294193795728e-26,12,0.11132249349862715,7.806741925045015e-10,0.02963208620220148,12,0.5005326720410436,1.65082936874679e-70
24,21.5,122.5,5.114485034357712e-26,12,0.0955697724351133,6.953664032123753e-10,0.027914679928012293,12,0.4863581548389862,4.6358899048031645e-66
25,21.5,122.75,4.009192274085952e-26,12,0.0895117715164507,5.923368690906765e-10,0.02744907248118364,12,0.47987544773735935,1.0119467090152533e-63
26,21.5,123.0,2.749890715814324e-26,12,0.08675870076278214,3.067755351805448e-10,0.027887652762075863,12,0.47904946869790527,3.792458309874777e-63
27,21.5,123.25,1.9074136701990669e-26,12,0.07905928863518186,8.252832979621623e-11,0.02848510057904845,12,0.4765851560142127,2.94478250147194e-62
28,21.5,123.5,1.4845121441246777e-26,12,0.0753214795816988,2.6627374665113864e-11,0.029984346003114736,12,0.47662094209666866,3.8085757996956824e-62
29,21.5,123.75,1.2683246485488125e-26,12,0.07574261467662163,1.3621431756049525e-11,0.031533716054911023,12,0.4797954273070488,5.223856472594519e-63
30,21.5,124.0,1.0560404946234522e-26,12,0.07722998472788345,1.163553569523406e-11,0.03268939116289861,12,0.48362968736744605,3.8146643645193645e-64
31,21.5,124.25,9.645118316025652e-27,12,0.07609801457887916,1.6625899198821568e-11,0.03286772872427133,12,0.48366378871730437,3.296467248714573e-64
32,21.5,124.5,1.073222950567234e-26,12,0.07287068232194796,3.8849009268325465e-11,0.03249690106145326,12,0.4798835412000789,4.1351531842933765e-63
33,21.5,124.75,1.3014529840884612e-26,12,0.07508273829465206,1.3932841622676142e-10,0.033361908538957014,12,0.48108177531688173,2.0855515623579633e-63
34,21.5,125.0,1.6514240796063057e-26,12,0.0808433080712761,3.8062551759611657e-10,0.03587007991972792,12,0.48506811730426547,1.6301006542947634e-64
35,21.5,125.25,2.285684460937183e-26,12,0.08525038357472049,8.281092192978508e-10,0.03977794645255232,12,0.4881510708613992,1.7080262443008606e-65
