Route_Name,Franchise_Count,Authorized_Units
EDSA/Shaw Central - Pasig (TP),3,3
EDSA/Shaw Central - Tanay via Angono,110,122
EDSA/Shaw Central - Tanay via Antipolo,198,272
EDSA/Shaw Central - Taytay,39,42
"Edsa/Shaw Central-Morong via Ant.,Teresa",10,14
EDSA/Shaw Central-MorongviaEDSA/ShawBlvd,1,1
EDSA/SHAW Central-Taytay viaEDSACentTerm,3,3
Edsa/Shaw Cntrl-Morong viaFloodwayAngono,6,6
Edsa/Shaw Cntrl-Tanay viaFloodway Angono,8,8
"EDSA/ShawCentral-SnJuan,TaytayviaSandov",25,25
EvergreenSubd-PhilcoaViaCommonwealth Ave,1,27
Francisco Hms(SJDM)-Cubao(AranetaCenter),2,236
Francisco Homes - Aurora Blvd/Illinois,1,1
Francisco Homes - Nova(TP) via Quirino,10,10
Francisco Homes - Philcoa,22,30
Francisco Homes -Philcoa Quirino Highway,7,9
GMA-Pal-BacCvt(MolCstlRd)BacMallofAsiavv,3,3
Golden City Subd - Molino Mrket viaTalon,7,8
Grotto(SJDM) - Novaliches(TP),61,76
Gumaok(SJDM) - Novaliches (TP),44,45
Heritage Homes - Monumento via NLEX,45,45
Heritage Homes-Monumento viaMcArthurHway,2,2
IMUS - BACLARAN,2,2
Imus - Zapote,1,1
Jordan Plaines - Sapang Palay via Tungku,1,1
Karuhatan - Ugong,3,3
Kasiglahan-Wawa(Montalban),1,1
Katarungan Vill(Munti)-AlabangviaBilibid,1,1
Kawit (Cavite) - Zapote (Las PiNas),2,2
Libertad - Malibay,6,9
LICAO - LICAO TUNGKONG MANGGA,1,20
Litex Mkt-Mali SnMateo via Constitutionl,5,5
Litex-Montalban via Gravel Pit Road & vv,1,1
Malabon - Obando,3,3
Malabon - Paco(Obando),6,6
Malabon(TP) - Obando via Paco,11,11
Malanday - Bulacan,10,10
Mali SnMateo Riz-Philcoa via Const Hills,6,6
Malinta - Bocaue via McArthur Highway,20,20
Malinta - Malolos,10,16
Malinta - Malolos via McArthur Hi-way,87,132
Malinta - Meycauayan via McArthur Hi-way,7,7
Malinta - Norzagaray via McArthur Hi-way,17,17
Malinta - Novaliches,1,1
Malinta - Plaridel via McArthur Highway,21,34
Malinta - Sta Maria,1,1
Malinta - Sta Maria via McArthur Hi-way,5,5
Malinta-N'garayviaMcArtMalintaTPNgarayTP,1,2
Malolos - BBB(Val) via McArthur Hi-way,1,42
Malolos(Bul)-Malinta(MM) via NorthExpway,1,1
Malolos(Bul)-Mlinta via McArthur Hi-way,10,10
"Malolos(Bul.)-Malanday(MM)viaPolo,Obando",1,1
Mambugan - Marikina via A Tuazon,5,5
Mambugan - Marikina via Cogeo,10,10
Marcos Ave - Montalban via Litex,10,11
Marcos Ave - Montalban via Marcos Ave,52,53
Marcos Ave(Commonwealth Ave)-Montalban,6,6
Marikina - Maarat,15,17
Marikina - Montalban,148,164
Marikina - Palmera Tierra Monte,4,4
Marikina - Pinugay (PHILCOMSAT),26,26
Marikina - San Mateo,17,17
Marikina - Taytay,2,2
