Route_Name,Franchise_Count,Authorized_Units
PASIG SAN JOAQUIN - ROBINSON'S GALLERIA,41,41
PASIG(SANTOLAN)SM MEGA MAL V.RBINSON ORT,4,4
PASIG(SANTOLAN)SM MEGAMALL VIA ROBINSON,24,24
PASIG-AYALA VIA MARKET MARKET,1,1
PASIG-AYALA VIA MEGAMALL,104,107
PASIG-EDSA CENTRAL,8,8
PASIG-MARKET MARKET,3,3
PASIG-MEGA MALL VIA ROBINSON'S GALLERIA,10,10
PASIG-MEGAMALL,10,10
PASIG-QUIAPO V SM MEGAMALL(ORTIGAS CENTR,35,35
PASIG-QUIAPO VIA MEGAMALL,43,44
PASIG-QUIAPO VIA ORTIGAS CENTER,2,2
PASIG-ROBINSONS VIA SM MEGAMALL,7,7
PASIG-SM MEGA MALL V. ROBINSON,335,341
PATEROS - TM KALAW (MASAGANA TERM),17,17
PEMBO (STAFF HOUSE) - AYALA,30,30
PILAR VILLAGE - AYALA CENTER V. SKYWAY,1,1
PROJ. 6 - BUENDIA,158,159
PROJ.6 - RECTO,4,4
PROJ.6 - TM KALAW,12,12
QUIAPO-MEGAMALL VIA ORTIGAS CENTER,64,67
QUIRINO H-WAY/KARUHATAN - NRRS TERM,16,16
QUIRINO/KARUHATAN-SM NORTH/TRINOMA,31,31
ROBINSON FAIRVIEW - TM KALAW V.COMMONWEA,3,3
ROBINSONS (NOVALICHES) VITO CRUZ,260,262
ROBINSON'S FAIRVIEW-BUENDIA,1,1
ROBINSON'S PLACE (NOVALICHES) - BUENDIA,258,261
ROBINSONS PLACE BUENDIA VIA COMMOLTH AVE,42,43
ROBINSONS PLACE(NOVA)-TM KALAW VIA COMM.,1,1
ROSARIO(PASIG)-MC KINLEY HILLS(TAGUIG),4,4
SAN BARTOLOME - MRT,22,22
SAN ROQUE(MARIKINA)-COMMONWEALTH MARKET,27,27
SANTOLAN - EDSA CENTRAL/C.I.T,13,13
SANTOLAN-EDSA/SHAW BOULEVARD,1,1
SM BICUTAN - AYALA CENTER,71,72
SM BICUTAN - LAWTON,10,10
SM BICUTAN - PARK N RIDE/LAWTON,15,15
SM BICUTAN-AYALA CENTER VIA FTI,1,1
SM BICUTAN-LAWTON VIA AYALA CENTER,1,1
SM FAIRVIEW - BUENDIA,933,944
SM FAIRVIEW - CUBAO,26,27
SM FAIRVIEW - GREENHILLS SHOPPING CENTER,8,8
SM FAIRVIEW - NOVALICHES,2,2
SM FAIRVIEW - QUIAPO KALAW VIA COMMONWEA,94,95
SM FAIRVIEW - SM NORTH C.I.T,269,269
SM FAIRVIEW - VITO CRUZ,9,9
SM FAIRVIEW-CENTRAL INTEGRATED TERMINAL,1,1
SM FAIRVIEW-KALAW,12,12
SM FAIRVIEW-MARIKINA,1,1
SM FAIRVIEW-PHILCOA,1,1
SM FAIRVIEW-ROBINSONS TRINOMA,1,1
SM FAIRVIEW-SM MEGAMALL,12,12
SM FAIRVIEW-TM KALAW VIA COMMONWEALTH,4,4
SM MAKATI-PALAR,1,1
SM MALL OF ASIA-MARKET VIA MACAPAGAL AVE,2,2
SM NORTH C.I.T. - TM KALAW,46,46
SM NORTH-NOVALICHES,2,2
SM SOUTH MALL - QUIAPO,22,22
SM SOUTH MALL(LAS PINAS)-AYALA LANDMARK,2,2
SM SOUTHMALL - AYALA CENTER,12,12
SM SOUTHMALL-LOWTON VIA SM MALL OF ASIA,1,1
SOUTH MALL - QUIAPO,5,5
SOUTHMALL - LAWTON,133,148
SSS VILLAGE - CUBAO(FARMERS PLAZA/MRT),228,229
STAR MALL - AYALA,1,1
STO NINO (MARIKINA) -AYALA,28,28
STO NINO(MARIKINA)-ORTIGAS CENTER,28,28
SUCAT - AYALA,98,101
SUCAT - LAWTON V. SM MALL OF ASIA,592,631
SUCAT- QUIAPO,232,245
SUCAT(PQUE)-LAWTON/PARK&RIDE,200,215
SUCAT-AYALA VIA RED RIBBON,1,1
SUCAT-AYALA VIA SCHILLING LANE,3,3
SUCAT-BACLARAN,5,5
SUCAT-DIVISORIA VIA SUCAT INTERCHANGE,2,2
SUCAT-LAWTON,8,8
SUCAT-LAWTON VIA COASTAL ROAD,1,1
SUCAT-PARK N RIDE,6,6
SUCAT-QUIAPO VIA SUCAT INTERCHANGE,21,21
TANDANG SORA (VISAYAS AVE.) TM-KALAW,20,20
TECHNOHUB (UP AYALA LAND) - BUNEDIA,26,26
TRINOMA MALL-ROBINSN'S MALL(NOVA)V.COMMO,34,35
TRINOMA/SM FAIRVIEW/LAGRO,1,10
TRINOMA-KARUHATAN LINK(VALENZUELA),4,4
UP AYALA LAND TECHNO HUB-TRINMA MRTNORTH,1,1
UP AYALA LAND-TRINOMA MRT NORTH,2,2
VAL.EXIT PASO DE BLAS-TRINOMA V.EDSA MIN,2,2
VICTORIA HOMES - LAS PINAS V. DAANG HARI,6,6
VICTORIA SUB - MUNTINLUPA ALABANG D.HARI,3,3
VICTORIA/CAMELLA(MUNTINLUPA) - ALABANG,1,8
TOTAL,8395,8629
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
