Day Index,Date Range,Segment,1 Day Active Users
11/10/20,"Oct 1, 2020 - Feb 11, 2021",New Users,148
11/11/20,"Oct 1, 2020 - Feb 11, 2021",All Users,204
11/11/20,"Oct 1, 2020 - Feb 11, 2021",New Users,135
11/12/20,"Oct 1, 2020 - Feb 11, 2021",All Users,195
11/12/20,"Oct 1, 2020 - Feb 11, 2021",New Users,114
11/13/20,"Oct 1, 2020 - Feb 11, 2021",All Users,150
11/13/20,"Oct 1, 2020 - Feb 11, 2021",New Users,91
11/14/20,"Oct 1, 2020 - Feb 11, 2021",All Users,83
11/14/20,"Oct 1, 2020 - Feb 11, 2021",New Users,42
11/15/20,"Oct 1, 2020 - Feb 11, 2021",All Users,117
11/15/20,"Oct 1, 2020 - Feb 11, 2021",New Users,75
11/16/20,"Oct 1, 2020 - Feb 11, 2021",All Users,221
11/16/20,"Oct 1, 2020 - Feb 11, 2021",New Users,153
11/17/20,"Oct 1, 2020 - Feb 11, 2021",All Users,267
11/17/20,"Oct 1, 2020 - Feb 11, 2021",New Users,177
11/18/20,"Oct 1, 2020 - Feb 11, 2021",All Users,183
11/18/20,"Oct 1, 2020 - Feb 11, 2021",New Users,111
11/19/20,"Oct 1, 2020 - Feb 11, 2021",All Users,183
11/19/20,"Oct 1, 2020 - Feb 11, 2021",New Users,117
11/20/20,"Oct 1, 2020 - Feb 11, 2021",All Users,93
11/20/20,"Oct 1, 2020 - Feb 11, 2021",New Users,58
11/21/20,"Oct 1, 2020 - Feb 11, 2021",All Users,31
11/21/20,"Oct 1, 2020 - Feb 11, 2021",New Users,15
11/22/20,"Oct 1, 2020 - Feb 11, 2021",All Users,37
11/22/20,"Oct 1, 2020 - Feb 11, 2021",New Users,23
11/23/20,"Oct 1, 2020 - Feb 11, 2021",All Users,102
11/23/20,"Oct 1, 2020 - Feb 11, 2021",New Users,66
11/24/20,"Oct 1, 2020 - Feb 11, 2021",All Users,85
11/24/20,"Oct 1, 2020 - Feb 11, 2021",New Users,46
11/25/20,"Oct 1, 2020 - Feb 11, 2021",All Users,87
11/25/20,"Oct 1, 2020 - Feb 11, 2021",New Users,58
11/26/20,"Oct 1, 2020 - Feb 11, 2021",All Users,152
11/26/20,"Oct 1, 2020 - Feb 11, 2021",New Users,83
11/27/20,"Oct 1, 2020 - Feb 11, 2021",All Users,72
11/27/20,"Oct 1, 2020 - Feb 11, 2021",New Users,44
11/28/20,"Oct 1, 2020 - Feb 11, 2021",All Users,58
11/28/20,"Oct 1, 2020 - Feb 11, 2021",New Users,29
11/29/20,"Oct 1, 2020 - Feb 11, 2021",All Users,38
11/29/20,"Oct 1, 2020 - Feb 11, 2021",New Users,23
11/30/20,"Oct 1, 2020 - Feb 11, 2021",All Users,110
11/30/20,"Oct 1, 2020 - Feb 11, 2021",New Users,67
12/1/20,"Oct 1, 2020 - Feb 11, 2021",All Users,249
12/1/20,"Oct 1, 2020 - Feb 11, 2021",New Users,163
12/2/20,"Oct 1, 2020 - Feb 11, 2021",All Users,93
12/2/20,"Oct 1, 2020 - Feb 11, 2021",New Users,42
12/3/20,"Oct 1, 2020 - Feb 11, 2021",All Users,67
12/3/20,"Oct 1, 2020 - Feb 11, 2021",New Users,31
12/4/20,"Oct 1, 2020 - Feb 11, 2021",All Users,40
12/4/20,"Oct 1, 2020 - Feb 11, 2021",New Users,19
12/5/20,"Oct 1, 2020 - Feb 11, 2021",All Users,28
12/5/20,"Oct 1, 2020 - Feb 11, 2021",New Users,13
12/6/20,"Oct 1, 2020 - Feb 11, 2021",All Users,26
12/6/20,"Oct 1, 2020 - Feb 11, 2021",New Users,13
12/7/20,"Oct 1, 2020 - Feb 11, 2021",All Users,82
12/7/20,"Oct 1, 2020 - Feb 11, 2021",New Users,63
12/8/20,"Oct 1, 2020 - Feb 11, 2021",All Users,38
12/8/20,"Oct 1, 2020 - Feb 11, 2021",New Users,19
12/9/20,"Oct 1, 2020 - Feb 11, 2021",All Users,34
12/9/20,"Oct 1, 2020 - Feb 11, 2021",New Users,12
12/10/20,"Oct 1, 2020 - Feb 11, 2021",All Users,40
12/10/20,"Oct 1, 2020 - Feb 11, 2021",New Users,21
12/11/20,"Oct 1, 2020 - Feb 11, 2021",All Users,47
12/11/20,"Oct 1, 2020 - Feb 11, 2021",New Users,25
12/12/20,"Oct 1, 2020 - Feb 11, 2021",All Users,92
12/12/20,"Oct 1, 2020 - Feb 11, 2021",New Users,58
12/13/20,"Oct 1, 2020 - Feb 11, 2021",All Users,48
12/13/20,"Oct 1, 2020 - Feb 11, 2021",New Users,32
12/14/20,"Oct 1, 2020 - Feb 11, 2021",All Users,50
12/14/20,"Oct 1, 2020 - Feb 11, 2021",New Users,28
12/15/20,"Oct 1, 2020 - Feb 11, 2021",All Users,90
12/15/20,"Oct 1, 2020 - Feb 11, 2021",New Users,78
12/16/20,"Oct 1, 2020 - Feb 11, 2021",All Users,90
12/16/20,"Oct 1, 2020 - Feb 11, 2021",New Users,78
12/17/20,"Oct 1, 2020 - Feb 11, 2021",All Users,44
12/17/20,"Oct 1, 2020 - Feb 11, 2021",New Users,31
12/18/20,"Oct 1, 2020 - Feb 11, 2021",All Users,185
12/18/20,"Oct 1, 2020 - Feb 11, 2021",New Users,166
12/19/20,"Oct 1, 2020 - Feb 11, 2021",All Users,190
12/19/20,"Oct 1, 2020 - Feb 11, 2021",New Users,165
12/20/20,"Oct 1, 2020 - Feb 11, 2021",All Users,31
12/20/20,"Oct 1, 2020 - Feb 11, 2021",New Users,19
12/21/20,"Oct 1, 2020 - Feb 11, 2021",All Users,54
12/21/20,"Oct 1, 2020 - Feb 11, 2021",New Users,41
12/22/20,"Oct 1, 2020 - Feb 11, 2021",All Users,24
12/22/20,"Oct 1, 2020 - Feb 11, 2021",New Users,17
12/23/20,"Oct 1, 2020 - Feb 11, 2021",All Users,104
12/23/20,"Oct 1, 2020 - Feb 11, 2021",New Users,71
12/24/20,"Oct 1, 2020 - Feb 11, 2021",All Users,26
12/24/20,"Oct 1, 2020 - Feb 11, 2021",New Users,7
12/25/20,"Oct 1, 2020 - Feb 11, 2021",All Users,17
12/25/20,"Oct 1, 2020 - Feb 11, 2021",New Users,12
12/26/20,"Oct 1, 2020 - Feb 11, 2021",All Users,18
12/26/20,"Oct 1, 2020 - Feb 11, 2021",New Users,11
12/27/20,"Oct 1, 2020 - Feb 11, 2021",All Users,14
12/27/20,"Oct 1, 2020 - Feb 11, 2021",New Users,7
12/28/20,"Oct 1, 2020 - Feb 11, 2021",All Users,18
12/28/20,"Oct 1, 2020 - Feb 11, 2021",New Users,9
12/29/20,"Oct 1, 2020 - Feb 11, 2021",All Users,25
12/29/20,"Oct 1, 2020 - Feb 11, 2021",New Users,17
12/30/20,"Oct 1, 2020 - Feb 11, 2021",All Users,28
12/30/20,"Oct 1, 2020 - Feb 11, 2021",New Users,15
12/31/20,"Oct 1, 2020 - Feb 11, 2021",All Users,13
12/31/20,"Oct 1, 2020 - Feb 11, 2021",New Users,8
1/1/21,"Oct 1, 2020 - Feb 11, 2021",All Users,9
1/1/21,"Oct 1, 2020 - Feb 11, 2021",New Users,5
1/2/21,"Oct 1, 2020 - Feb 11, 2021",All Users,19
1/2/21,"Oct 1, 2020 - Feb 11, 2021",New Users,7
1/3/21,"Oct 1, 2020 - Feb 11, 2021",All Users,22
1/3/21,"Oct 1, 2020 - Feb 11, 2021",New Users,12
1/4/21,"Oct 1, 2020 - Feb 11, 2021",All Users,16
1/4/21,"Oct 1, 2020 - Feb 11, 2021",New Users,3
1/5/21,"Oct 1, 2020 - Feb 11, 2021",All Users,20
1/5/21,"Oct 1, 2020 - Feb 11, 2021",New Users,12
1/6/21,"Oct 1, 2020 - Feb 11, 2021",All Users,11
1/6/21,"Oct 1, 2020 - Feb 11, 2021",New Users,7
1/7/21,"Oct 1, 2020 - Feb 11, 2021",All Users,8
1/7/21,"Oct 1, 2020 - Feb 11, 2021",New Users,6
1/8/21,"Oct 1, 2020 - Feb 11, 2021",All Users,15
1/8/21,"Oct 1, 2020 - Feb 11, 2021",New Users,10
1/9/21,"Oct 1, 2020 - Feb 11, 2021",All Users,17
1/9/21,"Oct 1, 2020 - Feb 11, 2021",New Users,7
1/10/21,"Oct 1, 2020 - Feb 11, 2021",All Users,6
1/10/21,"Oct 1, 2020 - Feb 11, 2021",New Users,4
1/11/21,"Oct 1, 2020 - Feb 11, 2021",All Users,885
1/11/21,"Oct 1, 2020 - Feb 11, 2021",New Users,845
1/12/21,"Oct 1, 2020 - Feb 11, 2021",All Users,414
1/12/21,"Oct 1, 2020 - Feb 11, 2021",New Users,393
1/13/21,"Oct 1, 2020 - Feb 11, 2021",All Users,165
1/13/21,"Oct 1, 2020 - Feb 11, 2021",New Users,143
1/14/21,"Oct 1, 2020 - Feb 11, 2021",All Users,134
1/14/21,"Oct 1, 2020 - Feb 11, 2021",New Users,115
1/15/21,"Oct 1, 2020 - Feb 11, 2021",All Users,131
1/15/21,"Oct 1, 2020 - Feb 11, 2021",New Users,109
1/16/21,"Oct 1, 2020 - Feb 11, 2021",All Users,902
1/16/21,"Oct 1, 2020 - Feb 11, 2021",New Users,770
1/17/21,"Oct 1, 2020 - Feb 11, 2021",All Users,180
1/17/21,"Oct 1, 2020 - Feb 11, 2021",New Users,55
1/18/21,"Oct 1, 2020 - Feb 11, 2021",All Users,66
1/18/21,"Oct 1, 2020 - Feb 11, 2021",New Users,31
1/19/21,"Oct 1, 2020 - Feb 11, 2021",All Users,43
1/19/21,"Oct 1, 2020 - Feb 11, 2021",New Users,23
1/20/21,"Oct 1, 2020 - Feb 11, 2021",All Users,58
1/20/21,"Oct 1, 2020 - Feb 11, 2021",New Users,37
1/21/21,"Oct 1, 2020 - Feb 11, 2021",All Users,76
1/21/21,"Oct 1, 2020 - Feb 11, 2021",New Users,47
1/22/21,"Oct 1, 2020 - Feb 11, 2021",All Users,35
1/22/21,"Oct 1, 2020 - Feb 11, 2021",New Users,18
1/23/21,"Oct 1, 2020 - Feb 11, 2021",All Users,29
1/23/21,"Oct 1, 2020 - Feb 11, 2021",New Users,18
1/24/21,"Oct 1, 2020 - Feb 11, 2021",All Users,25
1/24/21,"Oct 1, 2020 - Feb 11, 2021",New Users,17
1/25/21,"Oct 1, 2020 - Feb 11, 2021",All Users,32
1/25/21,"Oct 1, 2020 - Feb 11, 2021",New Users,20
1/26/21,"Oct 1, 2020 - Feb 11, 2021",All Users,21
1/26/21,"Oct 1, 2020 - Feb 11, 2021",New Users,12
1/27/21,"Oct 1, 2020 - Feb 11, 2021",All Users,25
1/27/21,"Oct 1, 2020 - Feb 11, 2021",New Users,13
1/28/21,"Oct 1, 2020 - Feb 11, 2021",All Users,13
1/28/21,"Oct 1, 2020 - Feb 11, 2021",New Users,11
1/29/21,"Oct 1, 2020 - Feb 11, 2021",All Users,16
1/29/21,"Oct 1, 2020 - Feb 11, 2021",New Users,14
1/30/21,"Oct 1, 2020 - Feb 11, 2021",All Users,13
1/30/21,"Oct 1, 2020 - Feb 11, 2021",New Users,8
1/31/21,"Oct 1, 2020 - Feb 11, 2021",All Users,12
1/31/21,"Oct 1, 2020 - Feb 11, 2021",New Users,8
2/1/21,"Oct 1, 2020 - Feb 11, 2021",All Users,17
2/1/21,"Oct 1, 2020 - Feb 11, 2021",New Users,8
2/2/21,"Oct 1, 2020 - Feb 11, 2021",All Users,12
2/2/21,"Oct 1, 2020 - Feb 11, 2021",New Users,5
2/3/21,"Oct 1, 2020 - Feb 11, 2021",All Users,10
2/3/21,"Oct 1, 2020 - Feb 11, 2021",New Users,4
2/4/21,"Oct 1, 2020 - Feb 11, 2021",All Users,20
2/4/21,"Oct 1, 2020 - Feb 11, 2021",New Users,14
2/5/21,"Oct 1, 2020 - Feb 11, 2021",All Users,15
2/5/21,"Oct 1, 2020 - Feb 11, 2021",New Users,7
2/6/21,"Oct 1, 2020 - Feb 11, 2021",All Users,8
2/6/21,"Oct 1, 2020 - Feb 11, 2021",New Users,6
2/7/21,"Oct 1, 2020 - Feb 11, 2021",All Users,9
2/7/21,"Oct 1, 2020 - Feb 11, 2021",New Users,6
2/8/21,"Oct 1, 2020 - Feb 11, 2021",All Users,10
2/8/21,"Oct 1, 2020 - Feb 11, 2021",New Users,5
2/9/21,"Oct 1, 2020 - Feb 11, 2021",All Users,13
2/9/21,"Oct 1, 2020 - Feb 11, 2021",New Users,9
2/10/21,"Oct 1, 2020 - Feb 11, 2021",All Users,17
2/10/21,"Oct 1, 2020 - Feb 11, 2021",New Users,12
2/11/21,"Oct 1, 2020 - Feb 11, 2021",All Users,8
2/11/21,"Oct 1, 2020 - Feb 11, 2021",New Users,2
