,lat,lon,mean_wv,ema_1,ema_7,ema_6,ema_5,prophet,lstm_relu,lstm_tanh,ema_1_rmse,ema_7_rmse,ema_6_rmse,ema_5_rmse,prophet_rmse,lstm_relu_rmse,lstm_tanh_rmse
2257,16.5,118.25,4.934542836621859,11.419739015504346,11.657270562837539,11.847147803023356,12.062814099474055,8.930477087046672,4.631224155426025,4.855799109942925,7.121195219464429,7.319952870603834,7.494825131277196,7.698241764544373,4.331522726785329,1.849518406826937,1.6996327033136136
2258,16.5,118.5,4.702776895843038,11.031278667480741,11.172608079590448,11.314900763945728,11.47700605675643,11.933567409852664,4.8266627589861555,4.742483282816521,6.903327056708432,7.0182541440115696,7.149498269494897,7.302797202994046,7.33551697954091,1.60667102435176,1.6420092505371156
2259,16.5,118.75,4.469734293732658,10.60634370081785,10.633400087366475,10.72013631965401,10.820000620873332,9.907970429678192,4.489283959070842,4.204499065174104,6.6514490175956995,6.664585282893382,6.744034663830129,6.838294000220081,5.59429213789559,1.6501113738015336,1.6726983463196403
2260,16.5,119.0,4.182760768168932,9.768904613116495,9.729110903255568,9.770775026232757,9.816731971744204,10.419263755749055,3.9506386717160544,4.044140999163095,6.053047401264052,6.010203657841597,6.047455670287107,6.090048037497583,6.338363799365708,1.6742275347905409,1.5612393803675735
2261,16.5,119.25,3.8869455938238886,8.747518692450017,8.679289099847667,8.687330652252514,8.68998830490283,9.537101079435216,3.6896672447522483,3.5801417031066918,5.305229555422008,5.246920234275405,5.2536610934262,5.2552943683838915,5.751188925737017,1.701412799910521,1.5764971350560004
2262,16.5,119.5,3.4611055733106966,7.357953208782142,7.287371384102674,7.261242127272134,7.2163516602967555,9.72895723404836,3.1514084537823996,3.7569097544265304,4.355243572183944,4.31208105302859,4.290982545669913,4.251513502211314,6.359305625596744,1.751275878553143,1.747942727549365
2263,16.5,119.75,2.9435330312483736,5.351169916950827,5.417763260125432,5.4100126662422,5.373687632174462,3.9594686359978666,2.542251547177633,3.37200538189869,2.977779315739295,3.0568166441118394,3.053699799307041,3.0251254981807287,1.503208024796305,1.6406942093206158,1.6686483569476251
2264,16.5,120.0,2.2013291554747547,2.9772658593454193,3.1426558792030383,3.1499564874170605,3.1235997404634053,2.282108969888544,1.8933946192264557,2.4840365032654357,1.6108431976472573,1.7360649392441365,1.7511311811371477,1.7470669083893122,0.8601857504788165,1.2404536564863593,1.3026922069946203
2265,16.5,120.25,1.235529356903484,1.552091584820553,1.6117914220765694,1.574380831230161,1.5028537686085421,1.8234240944067528,1.1116945048173268,1.267837842701286,0.9138341048308865,0.9866575265208958,0.9948224590196627,0.9984615095767139,0.7941529093430779,0.741669760185448,0.5770300549944701
2266,16.5,120.5,0.6989790409064547,0.827477781087982,0.8675147117457636,0.856015723960282,0.8278335132851135,1.0817676714952542,0.6225556979576746,0.6618413776698285,0.45781531760054417,0.4964742146989143,0.5039066076706479,0.508750493500046,0.4693211062337794,0.36474953774722174,0.2515253762743124
2267,16.5,120.75,1.2685504262443417,1.5050139831305174,2.033408927968025,2.2259276636367136,2.4221602412683993,2.81775469192962,1.1488939374685287,1.2564294578692976,0.7514463522741471,1.0587217855894422,1.2103044382261985,1.3751761441089083,1.618017756133551,0.4599525037574405,0.39995068451440985
2268,16.5,121.0,1.6498017927251964,2.0844147616264896,2.6483367100844615,2.8775706596450363,3.124971570506205,3.435198577502357,1.6095877786477406,1.5741907439504017,0.970477253912892,1.3169391236771761,1.503341392405996,1.7181774687864366,1.8759515248641767,0.43634893130275876,0.41685234517955905
2269,16.5,121.25,1.2683037135172444,1.7548043564967417,2.1583617930802195,2.3214826975067555,2.4962877289081966,2.934543983896764,1.2206332484881084,1.2752321836660938,0.848622210453795,1.1134662855552386,1.2478856224920065,1.40032116616069,1.7168248345520176,0.3466209079472809,0.2941284352144483
2270,16.5,121.5,1.1140643098147756,2.382075596877094,2.595286338306203,2.689599892212606,2.788910944080944,2.2541411201469015,1.0615531007448833,1.0215474318264988,1.4706679825007427,1.6338458727645186,1.7149059217964477,1.8029399642434694,1.1841211956671625,0.4036752542215776,0.337246515791504
2271,16.5,121.75,1.4190718966309237,3.3224067153995738,3.37805137907117,3.4226255819314257,3.4672409593641755,3.7197759959761054,1.306198279062907,1.0454641204670563,2.07507431387298,2.0832797965586374,2.114764659309227,2.1481874167985033,2.3529936127467157,0.4257678415919821,0.5254673073819172
2272,16.5,122.0,2.1117638156684824,3.627129525276457,4.047788080812324,4.2070435469348855,4.3604567221708885,4.182871500025511,1.9757773876190186,1.8034855281926376,1.7549761619113493,2.0901056057631298,2.2312962242138856,2.3711429499743573,2.135195344077678,0.431629431984654,0.443072896031518
2273,16.5,122.25,2.936355396405702,5.37793326290831,6.036911977025994,6.302510550205965,6.5721248896538595,5.926391597904577,2.774247924486796,2.6554360560909687,2.8094092473628134,3.3645121692542017,3.60682019759557,3.857841963837347,3.0902447835610247,0.6785170141274387,0.5899556546274168
2274,16.5,122.5,3.9015324678003243,8.02548885563356,8.79150153856417,9.134949357412756,9.497197088303363,6.025661678572941,3.681815803050995,3.6597722491793974,4.606658197467358,5.2712719164710045,5.590657532623301,5.9329879324526935,2.4732818094864206,1.048462215302407,0.729325186606876
2275,16.5,122.75,4.651246510995637,9.741598633181454,10.547914411444914,10.919512497052411,11.312751885576949,7.3506917008694055,4.3409082889556885,4.142875615949445,5.618279979948869,6.318051125363503,6.664787306253933,7.037535257795433,3.0862011221470125,1.1753963254377875,1.107008274235428
2276,16.5,123.0,4.920682081991904,9.710747983032322,10.583294713478937,10.956718155658002,11.341131180849878,6.66425776137588,4.8590583602587385,4.420031919738632,5.295070290429749,6.045141237429808,6.39175122815015,6.754710658774427,2.263317444626861,0.9176515931088839,0.9939266118068244
2277,16.5,123.25,5.122014404608941,9.656487737646101,10.653666402244461,11.054120175216044,11.458260695846052,7.429189008099474,4.941331168015798,4.573283180851679,5.03549681608868,5.899417811077047,6.272132330082985,6.654622020898755,2.7064155192117485,0.8980529073363698,0.9822350142334628
2278,16.5,123.5,5.1693732530012975,9.584330771087368,10.666433573152606,11.088542776258771,11.511694401039941,9.182867931446323,5.426098505655925,4.785353808089444,4.923884871487078,5.86797406612436,6.262026081397567,6.663480376780853,4.270133181269369,0.8311070516226237,0.8706110494360937
